,feature_name,case,control,L2FC,p_val,fdr_bh_adjusted_p_val,image_type,param_type,roi,transformation_type,feature_class,feature_type,fdr_bh_significance_alpha_0.05
118,original_glcm_Idn,0.34014210314928306,0.5630348027006761,-0.7270865065187622,0.2856295223142655,0.3402978931088632,ODI,binWidth_0_05,r_hippocampus,original,glcm,Idn,False
119,original_glcm_Imc1,0.7714370525829439,0.5617656854372227,0.4575799387110262,0.36521256381470063,0.4126427669075189,ODI,binWidth_0_05,r_hippocampus,original,glcm,Imc1,False
120,original_glcm_Imc2,0.42155410093710666,0.4654028852836604,-0.1427623607898753,0.8483856482696887,0.8582505976681734,ODI,binWidth_0_05,r_hippocampus,original,glcm,Imc2,False
121,original_glcm_InverseVariance,0.3107124842232927,0.7070300998965731,-1.18619142602389,0.043788965459576605,0.060331476421417375,ODI,binWidth_0_05,r_hippocampus,original,glcm,InverseVariance,False
122,original_glcm_JointAverage,0.6687367158893106,0.16764973089375984,1.9959881609278636,0.00918428353089972,0.031101006970848562,ODI,binWidth_0_05,r_hippocampus,original,glcm,JointAverage,True
123,original_glcm_JointEnergy,0.22180994685276967,0.7614913821341472,-1.7795036464810046,0.003840269335088858,0.031101006970848562,ODI,binWidth_0_05,r_hippocampus,original,glcm,JointEnergy,True
124,original_glcm_JointEntropy,0.7077846642226144,0.12372503156906482,2.516173092490405,0.003919638627432205,0.031101006970848562,ODI,binWidth_0_05,r_hippocampus,original,glcm,JointEntropy,True
125,original_glcm_MCC,0.41576543488051465,0.4389275060642133,-0.07821285859106179,0.9188225577029884,0.9188225577029884,ODI,binWidth_0_05,r_hippocampus,original,glcm,MCC,False
126,original_glcm_MaximumProbability,0.25216570893408274,0.6167171795613438,-1.2902369329273349,0.05719564527298007,0.0753942596780192,ODI,binWidth_0_05,r_hippocampus,original,glcm,MaximumProbability,False
127,original_glcm_SumAverage,0.6687367158893108,0.167649730893761,1.9959881609278536,0.009184283530899841,0.031101006970848562,ODI,binWidth_0_05,r_hippocampus,original,glcm,SumAverage,True
128,original_glcm_SumEntropy,0.6233201656990266,0.09285982459385914,2.746846926814869,0.005274307046413532,0.031101006970848562,ODI,binWidth_0_05,r_hippocampus,original,glcm,SumEntropy,True
129,original_glcm_SumSquares,0.6121103950245845,0.0945067786162185,2.6953021513371533,0.011234370833663295,0.03231894456608565,ODI,binWidth_0_05,r_hippocampus,original,glcm,SumSquares,True
130,original_glrlm_GrayLevelNonUniformity,0.33267616786253074,0.7477282298673537,-1.1683954831950578,0.026565239128854026,0.04054694393351403,ODI,binWidth_0_05,r_hippocampus,original,glrlm,GrayLevelNonUniformity,True
131,original_glrlm_GrayLevelNonUniformityNormalized,0.3408088719728404,0.9009757286976896,-1.4025253494897387,0.005302893168706253,0.031101006970848562,ODI,binWidth_0_05,r_hippocampus,original,glrlm,GrayLevelNonUniformityNormalized,True
132,original_glrlm_GrayLevelVariance,0.5935723429876982,0.08701456305174249,2.7700950917368323,0.018035741681286962,0.03231894456608565,ODI,binWidth_0_05,r_hippocampus,original,glrlm,GrayLevelVariance,True
133,original_glrlm_HighGrayLevelRunEmphasis,0.6189648799861135,0.1340862803792314,2.2066959241915667,0.008588699796388039,0.031101006970848562,ODI,binWidth_0_05,r_hippocampus,original,glrlm,HighGrayLevelRunEmphasis,True
134,original_glrlm_LongRunEmphasis,0.15810035855437832,0.6769191707823468,-2.0981429359189074,0.017366913465758513,0.03231894456608565,ODI,binWidth_0_05,r_hippocampus,original,glrlm,LongRunEmphasis,True
